Species,Subspecies,ID,Sex,Locality,Country,Altitude,Measurer,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Wing_Chord,Tail_Length,Gape Width
Z. anderssoni,,1911.5.30.162,U,"Chirinda forest, N Gazaland",S Rhodesia,3500',FCM,10.15,5.53,2.3,2.38,15.93,12.23,59,42,4.92
Z. anderssoni,,1911.5.30.162,U,"Chirinda forest, N Gazaland",S Rhodesia,3500',FCM,9.82,5.34,2.41,2.48,15.49,12.48,59.5,41,4.93
Z. anderssoni,,1911.5.30.163,U,"Chirinda forest, N Gazaland",S Rhodesia,3800',FCM,10.83,5.12,2.36,2.8,15.69,11.49,57,39.5,5.88
Z. quanzae,,1957.35.529,M,"Leba, 20m SW of Sa da Bandeira",S Angola,5700',FCM,11.36,5.82,2.32,2.96,15.47,10.64,60,47,4.72
Z. quanzae,,1957.35.53,U,Mt MocoAngola,,6500',FCM,10.8,5.89,2.6,2.7,16.09,11.8,64,50,5.15
Z. quanzae,,1910.5.6.1049,U,Ndala Tando,N Angola,,FCM,10.89,5.76,2.37,2.9,15.76,11.46,57,43.5,4.95
Z. quanzae,,1910.5.6.1050,U,Ndala Tando,N Angola,,FCM,11.23,6.08,2.48,2.97,16.05,10.87,59,47,5.11
Z. quanzae,,1910.5.6.1048,U,Ndala Tando,N Angola,,FCM,11.39,610,2.28,2.75,15.9,9.94,58,46,5.09
Z. quanzae,,1910.5.6.1048,U,Ndala Tando,N Angola,,FCM,11.32,5.92,2.68,2.95,15.31,9.82,58.5,44,4.94
Z. quanzae,,1910.5.6.1051,U,Ndala Tando,N Angola,,FCM,10.56,5.94,2.56,2.76,16.02,9.38,57,35,5.34
Z. quanzae,,1910.5.6.1052,U,Ndala Tando,N Angola,,FCM,11.11,6.26,2.49,2.96,15.33,10.44,59.5,46,5.03
Z. quanzae,,1910.5.6.1047,U,Ndala Tando,N Angola,,FCM,10.17,5.67,2.37,2.44,15.88,9.16,55,41,5.03
Z. quanzae,,1957.35.527,U,Vila luso (Luena),E Angola,,FCM,11.52,6.15,2.56,2.82,15.6,11.25,61,43,4.9
Z. jacksoni,,1955.62.1,U,Marsabit,Kenya,4600',FCM,11.85,6.21,2.78,2.95,16.26,10.33,57.5,41,5.71
Z. jacksoni,,1955.62.2,U,Marsabit,Kenya,4600',FCM,10.38,5.57,2.74,2.88,15.91,11.9,58.5,43.5,5.69
Z. jacksoni,,1955.62.3,U,Marsabit,Kenya,4600',FCM,11.28,6.23,2.71,3.05,16.09,10.53,57.5,45,5.64
Z. jacksoni,,1955.62.3,U,Marsabit,Kenya,4600',FCM,11.14,6.25,2.53,3.07,16.77,9.58,58,45,5.55
Z. jacksoni,,1955.62.4,U,Marsabit,Kenya,4600',FCM,11.66,6.22,2.68,3.05,16.5,10.43,57.5,46,5.56
Z. s. toroensis ,,1936.2.21.237,M,"Gudima, R. Areba",NE Congo,,FCM,10.98,5.77,2.28,2.77,15.54,8.61,54,36,5.54
Z. s. toroensis ,,1911.12.23.2603,M,near AngavaR. Welle,NE Congo,,FCM,10.68,5.85,2.28,2.88,14.62,10.06,53.5,39,5.59
Z. s. reichenowi ,,1906.12.23.715,M,"Mubuku Valey, E Ruwenzori",,6000',FCM,12.28,6.27,2.56,2.86,16.92,10.21,62,49,5.76
Z. s. reichenowi ,,1906.12.23.716,F,"Mubuku Valey, E Ruwenzori",,6000',FCM,11.84,6.31,2.58,2.68,16.18,11,61,43.5,5.67
Z. s. reichenowi ,,1906.12.23.717,F,"Mubuku Valey, E Ruwenzori",,6000'-6500',FCM,12.06,6.33,2.56,3.03,16.63,9.59,60,45,5.21
Z. s. reichenowi ,,1906.12.23.718,M,"Mubuku Valey, E Ruwenzori",,5000'-6000',FCM,11,5.99,2.56,2.88,15.33,8.86,61,46.5,5.25
Z. stuhlmanni,,1906.12.11.80,F,Entebbe,Uganda,,FCM,12.17,6.29,2.67,2.96,15.72,9.1,57,41,5.85
